iter	Passed	Remaining
0	3	1978
1	7	1860
2	10	1722
3	13	1668
4	16	1640
5	19	1627
6	22	1591
7	27	1711
8	31	1710
9	34	1678
10	37	1675
11	40	1647
12	43	1648
13	46	1626
14	50	1626
15	53	1612
16	56	1593
17	59	1587
18	62	1580
19	65	1580
20	69	1577
21	72	1584
22	76	1577
23	78	1565
24	82	1559
25	85	1559
26	88	1553
27	91	1550
28	95	1555
29	99	1551
30	102	1550
31	105	1541
32	108	1535
33	111	1534
34	115	1534
35	118	1528
36	123	1545
37	128	1567
38	131	1560
39	135	1553
40	138	1549
41	141	1542
42	144	1535
43	148	1534
44	154	1562
45	160	1582
46	164	1587
47	169	1592
48	174	1605
49	178	1605
50	181	1598
51	184	1588
52	187	1583
53	191	1581
54	195	1580
55	198	1575
56	201	1569
57	204	1561
58	208	1556
59	211	1553
60	214	1545
61	220	1557
62	223	1548
63	226	1541
64	229	1535
65	232	1529
66	235	1522
67	238	1517
68	242	1511
69	245	1507
70	248	1500
71	251	1494
72	254	1489
73	257	1485
74	261	1481
75	264	1476
76	268	1473
77	273	1479
78	277	1478
79	281	1477
80	284	1473
81	288	1468
82	291	1465
83	294	1460
84	298	1455
85	301	1452
86	304	1446
87	308	1442
88	311	1439
89	315	1438
90	319	1435
91	323	1432
92	326	1426
93	329	1422
94	332	1417
95	335	1412
96	338	1406
97	341	1402
98	344	1396
99	347	1391
100	351	1389
101	354	1384
102	358	1379
103	360	1374
104	364	1371
105	369	1371
106	372	1368
107	376	1366
108	379	1363
109	383	1358
110	386	1353
111	389	1349
112	392	1343
113	396	1341
114	400	1340
115	403	1335
116	406	1330
117	409	1326
118	413	1323
119	416	1320
120	420	1317
121	424	1314
122	427	1311
123	430	1306
124	433	1301
125	437	1297
126	440	1292
127	443	1288
128	446	1283
129	449	1278
130	453	1277
131	457	1275
132	460	1271
133	464	1267
134	467	1264
135	471	1260
136	474	1258
137	478	1254
138	481	1250
139	484	1246
140	487	1240
141	490	1236
142	493	1231
143	496	1227
144	499	1222
145	502	1218
146	505	1213
147	508	1209
148	512	1206
149	515	1201
150	518	1198
151	521	1194
152	524	1190
153	528	1187
