date,estimated-transaction-volume-usd,trade-volume,n-unique-addresses,n-transactions,output-volume
2024-03-23,5780151499.661647,394506658.95780003,622559.0,326610.0,716711.751343478
2024-03-24,3446270505.158186,212002527.1351,566459.0,331527.0,513831.8262454762
2024-03-25,10813846448.792442,230591017.74310002,623335.0,317064.0,1250324.7156639514
2024-03-26,15441122467.654274,598111635.24,648004.0,317742.0,1161761.7147320576
2024-03-27,12835468637.174114,420067165.6011999,637151.0,355902.0,986508.1232951462
2024-03-28,13059294357.123844,514434736.07189995,696012.0,428670.0,973794.8752496778
2024-03-29,9052675458.634825,429321770.2475,659374.0,449421.0,923032.0879918453
2024-03-30,4899663871.94741,231467318.75900003,614851.0,490072.0,521174.1482708109
2024-03-31,4052049395.04271,93566714.5938,546293.0,319675.0,456585.3620824828
2024-04-01,13085709742.52084,148022841.1392,648777.0,326410.0,1263750.226032886
2024-04-02,12446948304.835768,333076026.20600003,685496.0,357709.0,1089895.5793250247
2024-04-03,11542956859.303852,567178521.8108001,714141.0,372978.0,909993.117184391
2024-04-04,10660992756.195915,264675355.7157,655509.0,320607.0,864699.4180967722
2024-04-05,7927852982.371402,408140258.4445999,643705.0,348637.0,962527.0773917839
2024-04-06,5025793841.248038,412231112.2032,673290.0,433591.0,598971.9242774997
2024-04-07,5011808062.969637,168432954.45340002,652726.0,526130.0,554943.0491644463
2024-04-08,11418584778.487938,199599899.65730003,685180.0,455617.0,982666.1872262182
2024-04-09,10939569437.810043,462571787.4876,683771.0,453811.0,837041.0116765995
2024-04-10,8679207271.980724,485608092.6975,703704.0,531054.0,773781.9075290214
2024-04-11,8561053017.120058,439255942.27489996,631803.0,476241.0,814237.4967663351
2024-04-12,9357183105.151403,330459720.152,683741.0,448489.0,798696.518338781
2024-04-13,6210051369.613112,656060930.9432,683432.0,507173.0,639675.4301236746
2024-04-14,5003997183.111914,625046488.3316,665693.0,473328.0,671643.7468091047
2024-04-15,11559341313.326015,358442337.3594,666015.0,503358.0,938408.6540706649
2024-04-16,10682144920.883438,424121675.9304,743368.0,454669.0,1028539.245072605
2024-04-17,8561709706.407869,434879578.1352,661886.0,385606.0,997095.9200815054
2024-04-18,12336705133.490808,509763760.8503001,670913.0,418095.0,989107.8511690224
2024-04-19,9479933431.70449,396096192.37619996,727141.0,393190.0,811798.4458473901
2024-04-20,1849550188.3816292,627848217.2375001,455683.0,631001.0,385320.26131779834
2024-04-21,2437952939.1959405,217589645.4116,484762.0,641668.0,478617.15256393916
2024-04-22,7335530723.912101,152452095.5817,534717.0,671771.0,694754.651477748
2024-04-23,7265789225.50074,370050475.29780006,441797.0,927010.0,734569.3476622122
2024-04-24,7652433880.532315,244598871.59969997,632356.0,606713.0,786167.0132848818
2024-04-25,6784884049.382103,346769763.8901,633650.0,526242.0,623466.7653213254
2024-04-26,7554163013.008273,331902551.4123,664327.0,442347.0,775414.5050077859
2024-04-27,3253300158.0688977,219975352.317,673970.0,452967.0,556508.2032154301
2024-04-28,3545588645.6945586,143816198.3175,509501.0,487521.0,564091.449594405
2024-04-29,5796728920.506398,103478935.3971,603796.0,403064.0,772271.543126716
2024-04-30,9309712608.562164,235420816.3048,635509.0,498085.0,951488.341027611
2024-05-01,8725783357.945253,488305964.648,587665.0,478881.0,885510.477641098
2024-05-02,8551356016.181779,626699519.1439999,528151.0,559839.0,737934.5485675323
2024-05-03,5447644455.234284,308661105.156,537019.0,442742.0,690669.3956427871
2024-05-04,2535276294.7820964,459739745.3579,473521.0,660263.0,453619.31428210885
2024-05-05,1613446518.3047206,257089243.66959998,429326.0,625998.0,443545.86579670844
2024-05-06,5491391681.421094,144955309.3495,466177.0,519817.0,672642.9736580598
2024-05-07,4764574677.705591,344693198.4054,495831.0,372643.0,699999.1728698713
2024-05-08,4826242476.1033,279276674.8842,514675.0,450856.0,666491.1822600901
2024-05-09,4649344428.186168,232709097.1296,513026.0,517193.0,699636.2332559319
2024-05-10,4160729596.332065,218949258.33990002,474605.0,713791.0,707254.0318148361
2024-05-11,1989012570.1560533,305144383.8779,445747.0,719306.0,434192.2329474505
2024-05-12,1881158872.1569226,83158592.7858,377543.0,557164.0,493696.6102884302
2024-05-13,5759327016.077168,85559115.7164,466123.0,554780.0,772143.4784021802
2024-05-14,5418457538.779011,266267807.42170003,458041.0,422043.0,693098.2529934052
2024-05-15,8003836077.364244,248173582.692,516619.0,493012.0,837756.1477849804
2024-05-16,7101103820.324476,575329237.0932,494221.0,476659.0,884191.8645504088
2024-05-17,7835288947.482639,315594998.6313,514199.0,573492.0,833209.9909068157
2024-05-18,2349266373.133145,286102454.924,434371.0,401264.0,531982.4311212555
2024-05-19,3000326237.631906,79102485.4222,405155.0,644119.0,541525.7763579146
2024-05-20,7022731812.543269,112913407.31580001,482108.0,626995.0,806174.3340875941
2024-05-21,11045188897.642183,455363725.4014,508542.0,545041.0,983217.5757719927
2024-05-22,8214273488.198978,350193696.2760001,491272.0,583279.0,766462.853981051
2024-05-23,9092947802.681757,319144111.8109,533345.0,744761.0,650563.4271773113
2024-05-24,8162826585.536556,443308782.8817,483309.0,736439.0,641425.4503193916
2024-05-25,2016644986.3119543,225741561.48719996,465497.0,835040.0,362406.7179701254
2024-05-26,3376577962.077557,81765338.718,403848.0,852655.0,510608.8992151619
2024-05-27,3759980652.3522434,78486259.70539999,430424.0,551610.0,574537.6935324619
2024-05-28,25126148317.408638,201309272.7643,448181.0,596790.0,1030833.9823394106
2024-05-29,6388638321.04567,305845899.936,449070.0,725428.0,717712.5177684043
2024-05-30,8488992411.997545,264832289.3765,499634.0,510417.0,714630.5404810873
2024-05-31,9197804710.416952,306077441.6492,528690.0,701471.0,850516.0998206746
2024-06-01,2035171781.513369,249622032.12489995,449639.0,740030.0,433918.7695938534
2024-06-02,1639206773.6388125,48154509.9261,393004.0,729202.0,582840.2343406326
2024-06-03,10231630580.222765,89209413.90900001,482689.0,769224.0,908664.9577310736
2024-06-04,8099405366.314405,332641019.85480005,492874.0,627980.0,856833.8320920762
2024-06-05,9970731483.523262,381951958.79080003,460473.0,562049.0,998685.739414939
2024-06-06,7566456857.2989645,344754426.3263999,476121.0,613472.0,775250.5133083627
2024-06-07,9046106615.578749,281625399.42480004,468301.0,263982.0,680416.2605223764
2024-06-08,3010368337.856259,455128375.3866,599175.0,509927.0,509698.922983565
2024-06-09,1356745169.9412165,77737031.91539998,479357.0,767920.0,414392.0460083305
2024-06-10,7071634843.4280405,66199927.998399995,473053.0,658037.0,679422.5458353678
2024-06-11,8300820379.970086,174365595.8674,485989.0,463737.0,827148.9417821423
2024-06-12,7993241570.379265,408497184.12,483313.0,690560.0,674759.9275755116
2024-06-13,5447481273.682415,366473603.4202,469602.0,731254.0,580183.9919652672
2024-06-14,7752072910.629316,274885725.6153,475827.0,604349.0,729399.2524299124
2024-06-15,2182888818.589143,337748082.471,426024.0,452945.0,474185.77497225563
2024-06-16,1577243596.909229,78679201.4424,410934.0,461748.0,454814.54503825324
2024-06-17,6504943989.828709,96557462.01850002,433551.0,441215.0,758472.3915369599
2024-06-18,8142461537.978515,299300640.48920006,484883.0,617202.0,821008.8260452361
2024-06-19,4194286630.621904,374130380.0434,459862.0,634554.0,609746.9702756439
2024-06-20,6897447731.90798,120869513.94070001,465205.0,532756.0,628069.2379212937
2024-06-21,5839766773.132086,281061349.4486,514658.0,592843.0,690343.1010582402
2024-06-22,5441303997.531913,230207961.62,456727.0,681420.0,359700.48632529244
2024-06-23,1479938986.0844269,44080861.9482,358420.0,492352.0,353770.2179674989
2024-06-24,9211986161.082127,81685425.66800001,456565.0,528326.0,925990.5733968756
2024-06-25,7946145283.243041,549468502.1436,441214.0,536347.0,623516.001908275
2024-06-26,6539916736.601309,352591280.392,476277.0,490817.0,715028.2460590538
