asset,time,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowInExUSD,FlowInExUSD-status,FlowInExUSD-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,FlowOutExUSD,FlowOutExUSD-status,FlowOutExUSD-status-time,NetFlowNtv,NetFlowUSD,date
btc,2024-09-01T00:00:00.000000000Z,11312.42702972,flash,2026-02-26T18:52:47.921988000Z,648757290.8439108,flash,2026-02-26T18:58:37.169275000Z,11908.84263282,flash,2026-02-26T18:55:27.153733000Z,682961177.4075681,flash,2026-02-26T18:58:37.186269000Z,-596.4156031000002,-34203886.563657284,2024-09-01
btc,2024-09-02T00:00:00.000000000Z,17572.20552711,flash,2026-02-26T18:59:53.162066000Z,1039554526.5393664,flash,2026-02-26T19:18:30.271884000Z,16148.55910137,flash,2026-02-26T19:15:24.276313000Z,955332993.6312541,flash,2026-02-26T19:18:30.292524000Z,1423.6464257400003,84221532.90811229,2024-09-02
btc,2024-09-03T00:00:00.000000000Z,20578.89557168,flash,2026-02-26T19:19:39.338710000Z,1186121761.855832,flash,2026-02-26T19:37:13.515867000Z,24342.62265675,flash,2026-02-26T19:33:35.869990000Z,1403054618.419392,flash,2026-02-26T19:37:13.534216000Z,-3763.7270850700006,-216932856.56356,2024-09-03
btc,2024-09-04T00:00:00.000000000Z,19027.34654342,flash,2026-02-26T19:38:29.968923000Z,1104221593.3039734,flash,2026-02-26T19:42:26.973964000Z,20492.01740292,flash,2026-02-26T19:41:35.195362000Z,1189221421.6537802,flash,2026-02-26T19:42:26.992715000Z,-1464.6708594999982,-84999828.34980679,2024-09-04
btc,2024-09-05T00:00:00.000000000Z,20915.50815165,flash,2026-02-26T19:45:08.643631000Z,1173630924.6316783,flash,2026-02-26T20:03:09.755974000Z,17308.93197246,flash,2026-02-26T20:02:05.292854000Z,971255285.2139276,flash,2026-02-26T20:03:09.807477000Z,3606.5761791900004,202375639.41775072,2024-09-05
btc,2024-09-06T00:00:00.000000000Z,28972.66810649,flash,2026-02-26T20:05:25.921265000Z,1559858129.8640597,flash,2026-02-26T20:21:26.613196000Z,28589.43066531,flash,2026-02-26T20:20:28.458517000Z,1539225027.1033576,flash,2026-02-26T20:21:26.642469000Z,383.23744118000104,20633102.760702133,2024-09-06
btc,2024-09-07T00:00:00.000000000Z,10246.74873287,flash,2026-02-26T20:22:52.803671000Z,554005224.7912375,flash,2026-02-26T20:37:56.773981000Z,13179.75637517,flash,2026-02-26T20:36:43.765053000Z,712582506.2829162,flash,2026-02-26T20:37:56.789407000Z,-2933.007642299999,-158577281.4916787,2024-09-07
btc,2024-09-08T00:00:00.000000000Z,13801.75219458,flash,2026-02-26T20:42:54.604853000Z,757153890.1289686,flash,2026-02-26T20:46:44.990287000Z,7906.63040192,flash,2026-02-26T20:45:41.197257000Z,433751880.35738206,flash,2026-02-26T20:46:45.010709000Z,5895.12179266,323402009.77158654,2024-09-08
btc,2024-09-09T00:00:00.000000000Z,20068.26319736,flash,2026-02-26T20:49:19.923882000Z,1146615899.8679874,flash,2026-02-26T21:08:51.926521000Z,28102.15259657,flash,2026-02-26T21:05:51.932391000Z,1605638448.6716566,flash,2026-02-26T21:08:51.938410000Z,-8033.889399209998,-459022548.8036692,2024-09-09
btc,2024-09-10T00:00:00.000000000Z,42769.6248869,flash,2026-02-26T21:11:25.080653000Z,2466289026.654103,flash,2026-02-26T21:29:28.039258000Z,55677.98851669,flash,2026-02-26T21:25:54.126626000Z,3210643358.879332,flash,2026-02-26T21:29:28.054999000Z,-12908.363629790001,-744354332.2252293,2024-09-10
