symbol,fundingTime,fundingRate,markPrice,datetime
BTCUSDT,1727654400000,3.077e-05,65571.63404255,2024-09-30 00:00:00.000
BTCUSDT,1727683200001,7.939e-05,64539.0,2024-09-30 08:00:00.001
BTCUSDT,1727712000000,0.0001,63535.7,2024-09-30 16:00:00.000
BTCUSDT,1727740800000,0.0001,63313.79948227,2024-10-01 00:00:00.000
BTCUSDT,1727769600000,0.0001,64017.0,2024-10-01 08:00:00.000
BTCUSDT,1727798400001,0.0001,62631.58188652,2024-10-01 16:00:00.001
BTCUSDT,1727827200000,6.632e-05,60789.16184397,2024-10-02 00:00:00.000
BTCUSDT,1727856000000,8.409e-05,61703.76278014,2024-10-02 08:00:00.000
BTCUSDT,1727884800000,8.191e-05,61851.6402695,2024-10-02 16:00:00.000
BTCUSDT,1727913600000,4.381e-05,60622.6,2024-10-03 00:00:00.000
BTCUSDT,1727942400000,3.746e-05,60908.25041844,2024-10-03 08:00:00.000
BTCUSDT,1727971200000,4.99e-05,60606.4,2024-10-03 16:00:00.000
BTCUSDT,1728000000000,7.097e-05,60727.2,2024-10-04 00:00:00.000
BTCUSDT,1728028800000,2.119e-05,61405.54564539,2024-10-04 08:00:00.000
BTCUSDT,1728057600001,2.43e-06,61839.9,2024-10-04 16:00:00.001
BTCUSDT,1728086400000,-1.596e-05,62056.3,2024-10-05 00:00:00.000
BTCUSDT,1728115200000,1.088e-05,62049.40834043,2024-10-05 08:00:00.000
BTCUSDT,1728144000000,8.61e-06,62137.44147431,2024-10-05 16:00:00.000
BTCUSDT,1728172800000,5.72e-06,62030.7846515,2024-10-06 00:00:00.000
BTCUSDT,1728201600001,3.288e-05,61921.90959612,2024-10-06 08:00:00.001
BTCUSDT,1728230400000,4.18e-05,62692.35314894,2024-10-06 16:00:00.000
BTCUSDT,1728259200000,4.573e-05,62791.83731206,2024-10-07 00:00:00.000
BTCUSDT,1728288000000,-9.52e-06,63510.0,2024-10-07 08:00:00.000
BTCUSDT,1728316800001,2.177e-05,63633.19230496,2024-10-07 16:00:00.001
BTCUSDT,1728345600000,-1.678e-05,62199.75722695,2024-10-08 00:00:00.000
BTCUSDT,1728374400000,7.094e-05,62291.4,2024-10-08 08:00:00.000
BTCUSDT,1728403200000,8.1e-05,62259.9,2024-10-08 16:00:00.000
BTCUSDT,1728432000000,0.0001,62133.03330496,2024-10-09 00:00:00.000
BTCUSDT,1728460800000,5.138e-05,62243.96385816,2024-10-09 08:00:00.000
BTCUSDT,1728489600000,7.939e-05,62285.3,2024-10-09 16:00:00.000
BTCUSDT,1728518400000,2.09e-05,60607.48575935,2024-10-10 00:00:00.000
BTCUSDT,1728547200000,1.532e-05,60874.85382979,2024-10-10 08:00:00.000
BTCUSDT,1728576000000,0.0001,60768.62359574,2024-10-10 16:00:00.000
BTCUSDT,1728604800000,2.231e-05,60293.8080044,2024-10-11 00:00:00.000
BTCUSDT,1728633600000,-1.874e-05,60648.44046099,2024-10-11 08:00:00.000
BTCUSDT,1728662400001,1.2e-06,62225.57043262,2024-10-11 16:00:00.001
BTCUSDT,1728691200000,4.558e-05,62509.0,2024-10-12 00:00:00.000
BTCUSDT,1728720000001,7.664e-05,62734.47038298,2024-10-12 08:00:00.001
BTCUSDT,1728748800000,-1.489e-05,63124.8,2024-10-12 16:00:00.000
BTCUSDT,1728777600000,6.93e-06,63175.9,2024-10-13 00:00:00.000
BTCUSDT,1728806400000,1.638e-05,62818.9,2024-10-13 08:00:00.000
BTCUSDT,1728835200000,3.938e-05,62195.2,2024-10-13 16:00:00.000
BTCUSDT,1728864000000,5.429e-05,62841.10753191,2024-10-14 00:00:00.000
BTCUSDT,1728892800000,0.0001,64603.73577305,2024-10-14 08:00:00.000
BTCUSDT,1728921600000,0.0001,65853.81444681,2024-10-14 16:00:00.000
BTCUSDT,1728950400000,0.0001,66064.9,2024-10-15 00:00:00.000
BTCUSDT,1728979200000,0.0001,65638.3,2024-10-15 08:00:00.000
BTCUSDT,1729008000000,0.0001,65994.7,2024-10-15 16:00:00.000
BTCUSDT,1729036800000,8.325e-05,67048.63902128,2024-10-16 00:00:00.000
BTCUSDT,1729065600001,8.5e-05,66948.9,2024-10-16 08:00:00.001
BTCUSDT,1729094400000,0.0001,67726.0,2024-10-16 16:00:00.000
BTCUSDT,1729123200000,0.0001,67594.01401418,2024-10-17 00:00:00.000
BTCUSDT,1729152000000,0.0001,67281.31711348,2024-10-17 08:00:00.000
BTCUSDT,1729180800001,0.0001,67561.8,2024-10-17 16:00:00.001
BTCUSDT,1729209600010,0.0001,67406.17999291,2024-10-18 00:00:00.010
BTCUSDT,1729238400001,0.0001,67956.3708584,2024-10-18 08:00:00.001
BTCUSDT,1729267200000,0.0001,68710.0,2024-10-18 16:00:00.000
BTCUSDT,1729296000000,0.0001,68407.9,2024-10-19 00:00:00.000
BTCUSDT,1729324800000,0.0001,68328.8,2024-10-19 08:00:00.000
BTCUSDT,1729353600000,0.0001,68210.10911959,2024-10-19 16:00:00.000
BTCUSDT,1729382400000,0.0001,68357.1,2024-10-20 00:00:00.000
BTCUSDT,1729411200000,0.0001,68350.38066857,2024-10-20 08:00:00.000
BTCUSDT,1729440000000,0.0001,68605.0,2024-10-20 16:00:00.000
BTCUSDT,1729468800000,0.0001,69021.90495965,2024-10-21 00:00:00.000
BTCUSDT,1729497600000,0.0001,68513.8873617,2024-10-21 08:00:00.000
BTCUSDT,1729526400000,0.0001,67349.29462411,2024-10-21 16:00:00.000
BTCUSDT,1729555200000,0.0001,67368.7,2024-10-22 00:00:00.000
BTCUSDT,1729584000000,0.0001,67387.3,2024-10-22 08:00:00.000
BTCUSDT,1729612800000,0.0001,67271.54104965,2024-10-22 16:00:00.000
BTCUSDT,1729641600000,0.0001,67410.62232624,2024-10-23 00:00:00.000
BTCUSDT,1729670400000,0.0001,66838.0,2024-10-23 08:00:00.000
BTCUSDT,1729699200000,0.0001,66207.1077305,2024-10-23 16:00:00.000
BTCUSDT,1729728000000,0.0001,66649.66592908,2024-10-24 00:00:00.000
BTCUSDT,1729756800000,0.0001,67104.5,2024-10-24 08:00:00.000
BTCUSDT,1729785600000,0.0001,67672.84020567,2024-10-24 16:00:00.000
BTCUSDT,1729814400000,0.0001,68175.57805674,2024-10-25 00:00:00.000
BTCUSDT,1729843200000,0.0001,67503.6,2024-10-25 08:00:00.000
BTCUSDT,1729872000000,0.0001,67667.15595745,2024-10-25 16:00:00.000
BTCUSDT,1729900800000,4.755e-05,66679.84317682,2024-10-26 00:00:00.000
BTCUSDT,1729929600001,7.569e-05,66982.64575316,2024-10-26 08:00:00.001
BTCUSDT,1729958400000,0.0001,66864.2,2024-10-26 16:00:00.000
BTCUSDT,1729987200000,0.0001,67071.9,2024-10-27 00:00:00.000
BTCUSDT,1730016000000,9.724e-05,67174.8,2024-10-27 08:00:00.000
BTCUSDT,1730044800000,0.0001,67760.95565906,2024-10-27 16:00:00.000
BTCUSDT,1730073600000,9.425e-05,67997.2,2024-10-28 00:00:00.000
BTCUSDT,1730102400001,0.0001,68395.69875177,2024-10-28 08:00:00.001
BTCUSDT,1730131200000,8.946e-05,68463.4,2024-10-28 16:00:00.000
BTCUSDT,1730160000000,0.0001,69940.0,2024-10-29 00:00:00.000
BTCUSDT,1730188800000,0.0001,70992.0787234,2024-10-29 08:00:00.000
BTCUSDT,1730217600004,0.0001,72382.8202766,2024-10-29 16:00:00.004
BTCUSDT,1730246400000,0.0001,72738.79255319,2024-10-30 00:00:00.000
BTCUSDT,1730275200000,0.0001,72244.9,2024-10-30 08:00:00.000
BTCUSDT,1730304000013,0.0001,72060.36978723,2024-10-30 16:00:00.013
BTCUSDT,1730332800000,0.0001,72350.66829787,2024-10-31 00:00:00.000
BTCUSDT,1730361600000,0.0001,72417.8,2024-10-31 08:00:00.000
BTCUSDT,1730390400000,0.0001,70637.76350697,2024-10-31 16:00:00.000
BTCUSDT,1730419200000,0.0001,70318.15929787,2024-11-01 00:00:00.000
