symbol,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,timestamp,datetime,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol,openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,openInterestHist_CMCCirculatingSupply
,,,,1773360000000,,1.0893,144587.3180,157497.7950,,,
BTCUSDT,0.5253,1.1066,0.4747,1773446400000,2026-03-14,1.0049,39870.2930,40067.1170,83154.16700000,5895264561.96520000,20001396.00000000
BTCUSDT,0.5646,1.2967,0.4354,1773532800000,2026-03-15,1.1161,60280.0120,67278.1770,83494.76300000,5942689659.66720000,20001768.00000000
BTCUSDT,0.5207,1.0864,0.4793,1773619200000,2026-03-16,1.1135,128158.5200,142701.7750,83090.61400000,6047235178.18320000,20002162.00000000
BTCUSDT,0.4596,0.8505,0.5404,1773705600000,2026-03-17,1.0483,107359.6270,112542.8990,88359.11400000,6613707290.64155100,20002546.00000000
BTCUSDT,0.4736,0.8997,0.5264,1773792000000,2026-03-18,0.9342,118028.5530,110259.3710,93211.42400000,6885751598.29760000,20002956.00000000
BTCUSDT,0.5814,1.3889,0.4186,1773878400000,2026-03-19,0.9159,114916.3840,105256.3890,85934.44400000,6119282055.69542400,20003043.00000000
BTCUSDT,0.6079,1.5504,0.3921,1773964800000,2026-03-20,1.0526,91261.6000,96063.9270,86874.41900000,6072083733.19047400,20003043.00000000
BTCUSDT,0.6059,1.5374,0.3941,1774051200000,2026-03-21,0.8787,39895.6910,35056.5220,86774.82700000,6115467845.49973300,20003043.00000000
BTCUSDT,0.6105,1.5674,0.3895,1774137600000,2026-03-22,0.9601,69267.5120,66506.8780,86381.61200000,5950086368.81680000,20003043.00000000
BTCUSDT,0.6418,1.7917,0.3582,1774224000000,2026-03-23,,,,86672.01200000,5879387266.81880000,20003043.00000000
