symbol,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,timestamp,datetime,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol,openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,openInterestHist_CMCCirculatingSupply
,,,,1773360000000,,1.0864,3755854.8760,4080295.1030,,,
ETHUSDT,0.6149,1.5967,0.3851,1773446400000,2026-03-14,0.9559,1120721.2970,1071329.0040,2095145.30000000,4382220185.69531700,120691953.63323110
ETHUSDT,0.6454,1.8201,0.3546,1773532800000,2026-03-15,1.1151,1870067.5840,2085241.7270,2062309.95300000,4321116798.32184000,120691953.63323110
ETHUSDT,0.5671,1.3100,0.4329,1773619200000,2026-03-16,1.1321,4368338.6940,4945581.9160,2163456.25900000,4711423598.91207000,120691908.69405814
ETHUSDT,0.4828,0.9335,0.5172,1773705600000,2026-03-17,0.9953,2778555.4120,2765583.4420,2476628.85300000,5824189008.44598000,120691908.69405814
ETHUSDT,0.5090,1.0367,0.4910,1773792000000,2026-03-18,0.9390,3713246.0270,3486611.4100,2380269.01200000,5513750350.15728000,120691899.71299382
ETHUSDT,0.6351,1.7405,0.3649,1773878400000,2026-03-19,0.9556,3219332.1930,3076480.6310,2207530.49400000,4861267894.64115000,120691856.22514506
ETHUSDT,0.6594,1.9360,0.3406,1773964800000,2026-03-20,1.0164,2241840.0280,2278700.3500,2243229.11800000,4793085224.13942000,120691832.43787270
ETHUSDT,0.6645,1.9806,0.3355,1774051200000,2026-03-21,0.8740,1023693.9490,894753.6700,2202029.25300000,4723813876.50259600,120691801.16329790
ETHUSDT,0.6848,2.1726,0.3152,1774137600000,2026-03-22,0.9831,2145315.9890,2109034.7130,2147454.35000000,4475512757.11331750,120691772.35754023
ETHUSDT,0.6800,2.1250,0.3200,1774224000000,2026-03-23,,,,2168008.68900000,4451008558.86456000,120691743.12389752
