symbol,fundingTime,fundingRate,markPrice,datetime
SOLUSDT,1727654400000,0.0001,158.39813308,2024-09-30 00:00:00.000
SOLUSDT,1727683200001,0.0001,156.812,2024-09-30 08:00:00.001
SOLUSDT,1727712000000,0.0001,154.1181293,2024-09-30 16:00:00.000
SOLUSDT,1727740800000,0.0001,152.47015802,2024-10-01 00:00:00.000
SOLUSDT,1727769600000,0.0001,156.757,2024-10-01 08:00:00.000
SOLUSDT,1727798400001,0.0001,149.53174587,2024-10-01 16:00:00.001
SOLUSDT,1727827200000,0.0001,145.16293337,2024-10-02 00:00:00.000
SOLUSDT,1727856000000,1.306e-05,147.69022985,2024-10-02 08:00:00.000
SOLUSDT,1727884800000,7.012e-05,147.44414768,2024-10-02 16:00:00.000
SOLUSDT,1727913600000,1.07e-06,140.11,2024-10-03 00:00:00.000
SOLUSDT,1727942400000,5.138e-05,139.85789803,2024-10-03 08:00:00.000
SOLUSDT,1727971200000,-3.81e-06,135.50486859,2024-10-03 16:00:00.000
SOLUSDT,1728000000000,3.715e-05,136.737706,2024-10-04 00:00:00.000
SOLUSDT,1728028800000,-4.939e-05,139.47658405,2024-10-04 08:00:00.000
SOLUSDT,1728057600001,5.24e-06,142.35959554,2024-10-04 16:00:00.001
SOLUSDT,1728086400000,5.818e-05,143.158,2024-10-05 00:00:00.000
SOLUSDT,1728115200000,9.502e-05,143.764,2024-10-05 08:00:00.000
SOLUSDT,1728144000000,4.49e-06,142.83167707,2024-10-05 16:00:00.000
SOLUSDT,1728172800000,0.0001,142.528,2024-10-06 00:00:00.000
SOLUSDT,1728201600001,0.0001,142.9269216,2024-10-06 08:00:00.001
SOLUSDT,1728230400000,3.507e-05,145.904,2024-10-06 16:00:00.000
SOLUSDT,1728259200000,3.973e-05,146.42212244,2024-10-07 00:00:00.000
SOLUSDT,1728288000000,7.543e-05,147.982,2024-10-07 08:00:00.000
SOLUSDT,1728316800001,5.43e-06,148.64924795,2024-10-07 16:00:00.001
SOLUSDT,1728345600000,3.9e-07,143.91764584,2024-10-08 00:00:00.000
SOLUSDT,1728374400000,0.0001,143.02,2024-10-08 08:00:00.000
SOLUSDT,1728403200000,-2.549e-05,142.728,2024-10-08 16:00:00.000
SOLUSDT,1728432000000,8.84e-06,143.42973236,2024-10-09 00:00:00.000
SOLUSDT,1728460800000,-3.713e-05,143.1071521,2024-10-09 08:00:00.000
SOLUSDT,1728489600000,0.0001,142.72877635,2024-10-09 16:00:00.000
SOLUSDT,1728518400000,0.0001,139.266,2024-10-10 00:00:00.000
SOLUSDT,1728547200000,-3.657e-05,139.62,2024-10-10 08:00:00.000
SOLUSDT,1728576000000,5.098e-05,138.599,2024-10-10 16:00:00.000
SOLUSDT,1728604800000,5.45e-06,138.97948197,2024-10-11 00:00:00.000
SOLUSDT,1728633600000,2.89e-06,141.12136254,2024-10-11 08:00:00.000
SOLUSDT,1728662400001,-6.334e-05,144.33173498,2024-10-11 16:00:00.001
SOLUSDT,1728691200000,-3.249e-05,145.469,2024-10-12 00:00:00.000
SOLUSDT,1728720000001,6.95e-05,145.4874675,2024-10-12 08:00:00.001
SOLUSDT,1728748800000,-4.766e-05,146.03041963,2024-10-12 16:00:00.000
SOLUSDT,1728777600000,5.22e-06,146.318,2024-10-13 00:00:00.000
