symbol,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,timestamp,datetime,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol,openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,openInterestHist_CMCCirculatingSupply
,,,,1773360000000,,1.0422,17284817.1000,18013660.6200,,,
SOLUSDT,0.6489,1.8482,0.3511,1773446400000,2026-03-14,0.9940,5438080.2800,5405622.0900,9600995.54000000,846002361.15828780,571115766.28898330
SOLUSDT,0.7011,2.3456,0.2989,1773532800000,2026-03-15,1.0454,8905319.5800,9309241.3900,9429570.27000000,829802183.76000000,571236099.00980090
SOLUSDT,0.6261,1.6745,0.3739,1773619200000,2026-03-16,1.0575,15804411.4300,16712997.7800,9711196.42000000,896234364.67279840,571235325.87533100
SOLUSDT,0.5927,1.4552,0.4073,1773705600000,2026-03-17,0.9733,11122892.3900,10825468.6900,10240104.18000000,984678084.86447400,571355761.92330350
SOLUSDT,0.6094,1.5602,0.3906,1773792000000,2026-03-18,0.9696,13274694.6200,12871596.8200,10020050.70000000,947596194.69900000,571364257.25714110
SOLUSDT,0.6892,2.2175,0.3108,1773878400000,2026-03-19,0.9808,12408882.2000,12170388.2800,9472268.63000000,852812456.89231110,571447755.09826450
SOLUSDT,0.6960,2.2895,0.3040,1773964800000,2026-03-20,0.9785,8818593.9300,8629162.0300,8635379.59000000,767253476.57150000,571447005.53928000
SOLUSDT,0.6753,2.0798,0.3247,1774051200000,2026-03-21,0.9173,5492743.6800,5038743.0700,8526040.49000000,765723696.40690000,571567459.03412560
SOLUSDT,0.6953,2.2819,0.3047,1774137600000,2026-03-22,0.9652,9633910.0200,9298679.4600,8433883.18000000,738049117.08180000,571566503.31462250
SOLUSDT,0.7136,2.4916,0.2864,1774224000000,2026-03-23,,,,8658871.15000000,746139455.15216790,572017010.90602470
