signal,return_horizon,IC_full,pval_full,t_stat,n_obs,IC_IS,IC_OOS,sign_flip,sample,abs_IC
post_count,fwd_ret_1d,0.0054598068666374105,0.8380993216585326,0.20436325964852173,1403,0.029367006182694656,-0.027817443173920448,True,Truth Social Only,0.0054598068666374105
post_count,fwd_ret_2d,0.0049347940930618,0.8535857129151598,0.1845793794353164,1401,0.03870821150887854,-0.036968427035597835,True,Truth Social Only,0.0049347940930618
post_count,fwd_ret_3d,0.025199690286467562,0.34609359137814544,0.9425116487584028,1400,0.03597594361662823,0.0029505644135944995,False,Truth Social Only,0.025199690286467562
post_count,fwd_ret_5d,0.029290574449670457,0.27376861691671706,1.0948559354416716,1398,0.05208175351815639,-0.011052222300840022,True,Truth Social Only,0.029290574449670457
post_count,fwd_ret_7d,0.05796151332564755,0.030349293714748864,2.167713315074322,1396,0.1051201086535256,-0.012396712056821071,True,Truth Social Only,0.05796151332564755
crypto_intensity,fwd_ret_1d,-0.0015834627026075486,0.9527463209510184,-0.05926897961634713,1403,-0.032246845024483745,0.005689997859730743,True,Truth Social Only,0.0015834627026075486
crypto_intensity,fwd_ret_2d,-0.03304551233018021,0.21641213210543075,-1.23668360230903,1401,-0.05386793882313474,-0.03528002374751335,False,Truth Social Only,0.03304551233018021
crypto_intensity,fwd_ret_3d,-0.033580411934131506,0.2092262855344664,-1.2562746837676937,1400,-0.05035682102677261,-0.03305142952383805,False,Truth Social Only,0.033580411934131506
crypto_intensity,fwd_ret_5d,-0.0534112827677457,0.045860157324804314,-1.998462820155323,1398,-0.03649714551481685,-0.0643073905662608,False,Truth Social Only,0.0534112827677457
crypto_intensity,fwd_ret_7d,-0.05306026665192949,0.0474663019765582,-1.9838691858510078,1396,-0.02965970559558534,-0.06549856442756499,False,Truth Social Only,0.05306026665192949
market_sentiment,fwd_ret_1d,0.014432267928017923,0.589106978360596,0.5402551117686926,1403,0.014240266122324052,0.007008831578176445,False,Truth Social Only,0.014432267928017923
market_sentiment,fwd_ret_2d,0.02350363269350218,0.3793602748120132,0.8793541925320136,1401,0.041253990585329275,-0.018653565863049698,True,Truth Social Only,0.02350363269350218
market_sentiment,fwd_ret_3d,0.02169258821426392,0.41734685594298365,0.8112732655253913,1400,0.038122981408579934,-0.022012764457898716,True,Truth Social Only,0.02169258821426392
market_sentiment,fwd_ret_5d,0.026784964000857708,0.31693841123337435,1.0011280296424454,1398,0.029548613038367207,0.011343625610960606,False,Truth Social Only,0.026784964000857708
market_sentiment,fwd_ret_7d,0.0637757107805182,0.01716524652027272,2.386006966661873,1396,0.0679743766670706,0.04963524107165515,False,Truth Social Only,0.0637757107805182
