date,total_inflow_mm,source
2024-12-23,130.76,sosovalue
2024-12-24,53.54,sosovalue
2024-12-26,117.09,sosovalue
2024-12-27,47.77,sosovalue
2024-12-30,-55.41,sosovalue
2024-12-31,35.93,sosovalue
2025-01-02,-77.51,sosovalue
2025-01-03,58.79,sosovalue
2025-01-06,128.72,sosovalue
2025-01-07,-86.79,sosovalue
2025-01-08,-159.34,sosovalue
2025-01-10,-68.48,sosovalue
2025-01-13,-39.43,sosovalue
2025-01-14,1.15,sosovalue
2025-01-15,59.78,sosovalue
2025-01-16,166.59,sosovalue
2025-01-17,23.87,sosovalue
2025-01-21,74.43,sosovalue
2025-01-22,70.64,sosovalue
2025-01-23,-14.93,sosovalue
2025-01-24,9.18,sosovalue
2025-01-27,-136.25,sosovalue
2025-01-28,0.0,sosovalue
2025-01-29,-4.82,sosovalue
2025-01-30,67.77,sosovalue
2025-01-31,27.78,sosovalue
2025-02-03,83.54,sosovalue
2025-02-04,307.77,sosovalue
2025-02-05,18.11,sosovalue
2025-02-06,10.65,sosovalue
2025-02-07,0.0,sosovalue
2025-02-10,-22.46,sosovalue
2025-02-11,12.58,sosovalue
2025-02-12,-40.95,sosovalue
2025-02-13,12.92,sosovalue
2025-02-14,11.65,sosovalue
2025-02-18,4.6,sosovalue
2025-02-19,19.02,sosovalue
2025-02-20,-13.09,sosovalue
2025-02-21,-8.92,sosovalue
2025-02-24,-78.09,sosovalue
2025-02-25,-50.08,sosovalue
2025-02-26,-94.27,sosovalue
2025-02-27,-71.08,sosovalue
2025-02-28,-41.82,sosovalue
2025-03-03,-12.1,sosovalue
2025-03-04,14.58,sosovalue
2025-03-05,-63.32,sosovalue
2025-03-06,-35.89,sosovalue
2025-03-07,-23.1,sosovalue
2025-03-10,-37.53,sosovalue
2025-03-11,-21.57,sosovalue
2025-03-12,-10.4,sosovalue
2025-03-13,-73.63,sosovalue
2025-03-14,-35.3,sosovalue
2025-03-17,-7.29,sosovalue
2025-03-18,-52.82,sosovalue
2025-03-19,-11.75,sosovalue
2025-03-20,-12.41,sosovalue
2025-03-21,-18.63,sosovalue
2025-03-24,0.0,sosovalue
2025-03-25,-3.21,sosovalue
2025-03-26,-5.89,sosovalue
2025-03-27,-4.22,sosovalue
2025-03-28,4.68,sosovalue
2025-03-31,6.42,sosovalue
2025-04-01,-3.58,sosovalue
2025-04-02,-51.24,sosovalue
2025-04-03,-3.59,sosovalue
2025-04-04,2.06,sosovalue
2025-04-07,0.0,sosovalue
2025-04-08,-3.29,sosovalue
2025-04-09,-11.19,sosovalue
2025-04-10,-38.79,sosovalue
2025-04-11,-29.2,sosovalue
2025-04-14,-5.98,sosovalue
2025-04-15,-14.18,sosovalue
2025-04-16,-12.01,sosovalue
2025-04-17,0.0,sosovalue
2025-04-21,-25.42,sosovalue
2025-04-22,38.74,sosovalue
2025-04-23,-23.88,sosovalue
2025-04-24,63.49,sosovalue
2025-04-25,104.16,sosovalue
2025-04-28,64.12,sosovalue
2025-04-29,18.4,sosovalue
2025-04-30,-2.36,sosovalue
2025-05-01,6.49,sosovalue
2025-05-02,20.1,sosovalue
2025-05-05,0.0,sosovalue
2025-05-06,-17.87,sosovalue
2025-05-07,-21.77,sosovalue
2025-05-08,-16.11,sosovalue
2025-05-09,17.61,sosovalue
2025-05-12,-17.59,sosovalue
2025-05-13,13.37,sosovalue
2025-05-14,63.47,sosovalue
2025-05-15,-39.79,sosovalue
2025-05-16,22.12,sosovalue
2025-05-19,13.66,sosovalue
2025-05-20,64.89,sosovalue
