IC,t_stat,N,label,signal,horizon,IC_mean_daily,t_stat_naive,t_stat_clustered,N_days
-0.004507743867901988,-0.15943816910308636,1253,dispersion_vs_btc_1d,cs_dispersion_vs_btc,1,,,,
-0.01933023430835106,-0.683828075048557,1253,dispersion_vs_ew_1d,cs_dispersion_vs_ew,1,,,,
-0.057769107310161,-0.8964522637667968,242,disp_btc_IS_1d,cs_dispersion_vs_btc_IS,1,,,,
-0.007632243033360232,-0.24244343228159093,1011,disp_btc_OOS_1d,cs_dispersion_vs_btc_OOS,1,,,,
-0.009542697343722468,-0.33726567557996656,1251,dispersion_vs_btc_3d,cs_dispersion_vs_btc,3,,,,
-0.045447000865761075,-1.6078125488916843,1251,dispersion_vs_ew_3d,cs_dispersion_vs_ew,3,,,,
-0.07368500377427827,-1.1446347850038974,242,disp_btc_IS_3d,cs_dispersion_vs_btc_IS,3,,,,
-0.03564310876790638,-1.1317913155333663,1009,disp_btc_OOS_3d,cs_dispersion_vs_btc_OOS,3,,,,
-0.028497360203567464,-1.005925284209857,1247,dispersion_vs_btc_7d,cs_dispersion_vs_btc,7,,,,
-0.10367779324286178,-3.678046284776695,1247,dispersion_vs_ew_7d,cs_dispersion_vs_ew,7,,,,
-0.06743109031553644,-1.0470210484629952,242,disp_btc_IS_7d,cs_dispersion_vs_btc_IS,7,,,,
-0.07316701562640568,-2.323439718015027,1005,disp_btc_OOS_7d,cs_dispersion_vs_btc_OOS,7,,,,
-0.053322218811654186,-1.8788271195736075,1240,dispersion_vs_btc_14d,cs_dispersion_vs_btc,14,,,,
-0.15173574032022993,-5.4013983047168965,1240,dispersion_vs_ew_14d,cs_dispersion_vs_ew,14,,,,
-0.016541203137456124,-0.2562902814804639,242,disp_btc_IS_14d,cs_dispersion_vs_btc_IS,14,,,,
-0.12035967682667299,-3.8263032147444433,998,disp_btc_OOS_14d,cs_dispersion_vs_btc_OOS,14,,,,
-0.04373227671525118,-1.8085667505915914,1709,consensus_vs_btc_1d,cs_consensus_vs_btc,1,,,,
-0.05578350570956836,-2.308337658482443,1709,consensus_vs_ew_1d,cs_consensus_vs_ew,1,,,,
-0.047439313656180475,-1.2529457143928575,698,,cs_consensus_vs_btc_IS,1,,,,
-0.032892663540641257,-1.0453932473931637,1011,,cs_consensus_vs_btc_OOS,1,,,,
-0.05922076556999095,-2.4496221733518415,1707,consensus_vs_btc_3d,cs_consensus_vs_btc,3,,,,
-0.08087591133032046,-3.350475031687603,1707,consensus_vs_ew_3d,cs_consensus_vs_ew,3,,,,
-0.01409318816388363,-0.37184076840372265,698,,cs_consensus_vs_btc_IS,3,,,,
-0.06886016189046343,-2.1903568506458666,1009,,cs_consensus_vs_btc_OOS,3,,,,
