IC,t_stat,N,label,signal,regime,horizon,IC_mean_daily,t_stat_naive,t_stat_clustered,N_days
-0.07466512235803636,-2.3463212933304454,984,,cs_consensus,bull,1,,,,
-0.12833309574070106,-4.0530245333963935,983,,cs_consensus,bull,3,,,,
-0.17161715888094728,-5.456156297525545,983,,cs_consensus,bull,7,,,,
-0.20463873631781007,-6.548045959337316,983,,cs_consensus,bull,14,,,,
-0.008605877918589985,-0.22176617374569718,666,,cs_consensus,bear,1,,,,
0.011213437370697993,0.2887505579224437,665,,cs_consensus,bear,3,,,,
-0.012664514619805285,-0.32513677073509956,661,,cs_consensus,bear,7,,,,
-0.037453581743909684,-0.9570221197664147,654,,cs_consensus,bear,14,,,,
-0.03061995172821108,-0.8400731625747302,754,,cs_consensus,high_vol,1,,,,
-0.012547123851984336,-0.3441020765460736,754,,cs_consensus,high_vol,3,,,,
-0.0058709564223475685,-0.16099977232680004,754,,cs_consensus,high_vol,7,,,,
0.02414375847779284,0.6605144050768353,750,,cs_consensus,high_vol,14,,,,
-0.06251746852178817,-1.9030605351510612,925,,cs_consensus,low_vol,1,,,,
-0.09501887926011844,-2.8967375938665425,923,,cs_consensus,low_vol,3,,,,
-0.1675286436663893,-5.145828625269968,919,,cs_consensus,low_vol,7,,,,
-0.21696845008026416,-6.719553163487513,916,,cs_consensus,low_vol,14,,,,
-0.03679949342190517,-0.9679994813616375,693,,cs_dispersion,bull,1,,,,
-0.08485671243005423,-2.237072236119371,692,,cs_dispersion,bull,3,,,,
-0.10582440711348301,-2.7954768369867735,692,,cs_dispersion,bull,7,,,,
-0.1381656107152372,-3.6644590000112576,692,,cs_dispersion,bull,14,,,,
0.014600379101063099,0.3449272662324797,560,,cs_dispersion,bear,1,,,,
0.04017577196496926,0.9489484196479905,559,,cs_dispersion,bear,3,,,,
-0.0030186485995124285,-0.07098671909412813,555,,cs_dispersion,bear,7,,,,
-0.05487501419187059,-1.2841798223125198,548,,cs_dispersion,bear,14,,,,
0.030426630125274023,0.5783737577487371,363,,cs_dispersion,high_vol,1,,,,
0.04567306124312654,0.8686946975883184,363,,cs_dispersion,high_vol,3,,,,
0.11397542688351328,2.17973721775072,363,,cs_dispersion,high_vol,7,,,,
0.12669089079431278,2.4131988584801998,359,,cs_dispersion,high_vol,14,,,,
-0.024182566215654778,-0.720835044865531,890,,cs_dispersion,low_vol,1,,,,
-0.04256409811718781,-1.2681016264528513,888,,cs_dispersion,low_vol,3,,,,
-0.09673017709655249,-2.8862744712323485,884,,cs_dispersion,low_vol,7,,,,
-0.12824499833985809,-3.833857277793678,881,,cs_dispersion,low_vol,14,,,,
0.0048,,17860,,zscore_30d_bull,,1,-0.0155,0.64,-1.89,693.0
0.0215,,17833,,zscore_30d_bull,,3,-0.0278,2.87,-3.31,692.0
0.0231,,17833,,zscore_30d_bull,,7,-0.0321,3.09,-3.73,692.0
0.0165,,17833,,zscore_30d_bull,,14,-0.0395,2.2,-4.79,692.0
-0.025,,12927,,zscore_30d_bear,,1,0.004,-2.84,0.39,499.0
-0.0449,,12900,,zscore_30d_bear,,3,0.0016,-5.1,0.15,498.0
-0.0784,,12792,,zscore_30d_bear,,7,-0.0023,-8.89,-0.24,494.0
-0.0526,,12603,,zscore_30d_bear,,14,-0.0015,-5.92,-0.16,487.0
-0.0187,,8585,,zscore_30d_high_vol,,1,-0.0152,-1.73,-1.17,322.0
-0.0324,,8585,,zscore_30d_high_vol,,3,-0.0289,-3.0,-2.2,322.0
-0.0404,,8585,,zscore_30d_high_vol,,7,-0.0239,-3.75,-1.79,322.0
-0.0363,,8477,,zscore_30d_high_vol,,14,-0.024,-3.34,-2.03,318.0
-0.0048,,22231,,zscore_30d_low_vol,,1,-0.0044,-0.71,-0.6,870.0
0.0002,,22177,,zscore_30d_low_vol,,3,-0.0105,0.03,-1.39,868.0
-0.0122,,22069,,zscore_30d_low_vol,,7,-0.0181,-1.81,-2.44,864.0
0.0095,,21988,,zscore_30d_low_vol,,14,-0.0237,1.42,-3.23,861.0
-0.0127,,17898,,pos_mom_5d_bull,,1,-0.0086,-1.7,-1.08,693.0
-0.013,,17871,,pos_mom_5d_bull,,3,-0.0191,-1.73,-2.33,692.0
-0.0192,,17871,,pos_mom_5d_bull,,7,-0.0177,-2.56,-2.04,692.0
-0.0131,,17871,,pos_mom_5d_bull,,14,-0.0309,-1.75,-3.68,692.0
0.0056,,13755,,pos_mom_5d_bear,,1,-0.0021,0.65,-0.22,541.0
0.0065,,13728,,pos_mom_5d_bear,,3,-0.0038,0.76,-0.39,540.0
-0.0511,,13620,,pos_mom_5d_bear,,7,-0.0051,-5.98,-0.56,536.0
-0.041,,13431,,pos_mom_5d_bear,,14,0.0021,-4.76,0.23,529.0
-0.0118,,9107,,pos_mom_5d_high_vol,,1,-0.0038,-1.12,-0.31,350.0
-0.0483,,9107,,pos_mom_5d_high_vol,,3,-0.0349,-4.62,-2.95,350.0
-0.0957,,9107,,pos_mom_5d_high_vol,,7,-0.0311,-9.17,-2.58,350.0
-0.0376,,8999,,pos_mom_5d_high_vol,,14,-0.0088,-3.57,-0.75,346.0
-0.0025,,22575,,pos_mom_5d_low_vol,,1,-0.0066,-0.38,-0.93,884.0
0.0134,,22521,,pos_mom_5d_low_vol,,3,-0.0035,2.02,-0.47,882.0
-0.0042,,22413,,pos_mom_5d_low_vol,,7,-0.0047,-0.63,-0.63,878.0
-0.0136,,22332,,pos_mom_5d_low_vol,,14,-0.0197,-2.03,-2.71,875.0
-0.0071,,17887,,pos_mom_10d_bull,,1,-0.0179,-0.95,-2.18,693.0
-0.0049,,17860,,pos_mom_10d_bull,,3,-0.0352,-0.66,-4.26,692.0
-0.0089,,17860,,pos_mom_10d_bull,,7,-0.0449,-1.18,-5.2,692.0
-0.0114,,17860,,pos_mom_10d_bull,,14,-0.0437,-1.53,-5.32,692.0
-0.0334,,13456,,pos_mom_10d_bear,,1,-0.0023,-3.88,-0.24,526.0
-0.0441,,13429,,pos_mom_10d_bear,,3,0.0052,-5.12,0.55,525.0
-0.0778,,13321,,pos_mom_10d_bear,,7,0.0008,-9.01,0.09,521.0
-0.0494,,13132,,pos_mom_10d_bear,,14,0.0068,-5.67,0.78,514.0
-0.0328,,8917,,pos_mom_10d_high_vol,,1,-0.0226,-3.1,-1.87,340.0
-0.043,,8917,,pos_mom_10d_high_vol,,3,-0.029,-4.06,-2.38,340.0
-0.0419,,8917,,pos_mom_10d_high_vol,,7,-0.0217,-3.96,-1.71,340.0
-0.0261,,8809,,pos_mom_10d_high_vol,,14,0.0032,-2.45,0.27,336.0
-0.0097,,22455,,pos_mom_10d_low_vol,,1,-0.0067,-1.46,-0.94,879.0
-0.0097,,22401,,pos_mom_10d_low_vol,,3,-0.0134,-1.45,-1.86,877.0
-0.0334,,22293,,pos_mom_10d_low_vol,,7,-0.0266,-4.99,-3.65,873.0
-0.0184,,22212,,pos_mom_10d_low_vol,,14,-0.032,-2.75,-4.57,870.0
