event_peak_ts,event_peak_cpi,entry_signal_ts,exit_signal_ts,exit_reason,symbol,entry_bar_ts,exit_bar_ts,entry_px,exit_px,gross_pnl_pct,costs_pct,pnl_pct,hold_hours,btc_ret
2025-04-15 17:45:00,0.8731546998023987,2025-04-15 17:46:00,2025-04-15 18:46:00,vdv30_zero,ETH,2025-04-15 17:00:00,2025-04-15 18:00:00,1615.37,1609.77,-0.0034666980320297576,0.0013,-0.004766698032029757,1.0,-0.0033128035058628104
2025-04-15 17:45:00,0.8731546998023987,2025-04-15 17:46:00,2025-04-15 18:46:00,vdv30_zero,SOL,2025-04-15 17:00:00,2025-04-15 18:00:00,128.14,128.07,-0.000546277508974506,0.0013,-0.0018462775089745059,1.0,-0.0033128035058628104
2025-04-15 19:45:00,0.9091209769248962,2025-04-15 20:01:00,2025-04-15 21:01:00,vdv30_zero,ETH,2025-04-15 20:00:00,2025-04-15 21:00:00,1594.39,1602.83,0.005293560546666642,0.0013,0.003993560546666642,1.0,0.001822966279291363
2025-04-15 19:45:00,0.9091209769248962,2025-04-15 20:01:00,2025-04-15 21:01:00,vdv30_zero,SOL,2025-04-15 20:00:00,2025-04-15 21:00:00,127.66,128.03,0.0028983236722544617,0.0013,0.0015983236722544618,1.0,0.001822966279291363
2025-04-16 00:20:00,0.887399435043335,2025-04-16 00:31:00,2025-04-16 01:31:00,vdv30_zero,ETH,2025-04-16 00:00:00,2025-04-16 01:00:00,1580.0,1595.75,0.009968354430379746,0.0013,0.008668354430379745,1.0,0.005834773275318617
2025-04-16 00:20:00,0.887399435043335,2025-04-16 00:31:00,2025-04-16 01:31:00,vdv30_zero,SOL,2025-04-16 00:00:00,2025-04-16 01:00:00,125.12,126.13,0.008072250639386117,0.0013,0.006772250639386117,1.0,0.005834773275318617
2025-05-20 05:59:00,0.8717004060745239,2025-05-20 06:09:00,2025-05-20 07:09:00,vdv30_zero,ETH,2025-05-20 06:00:00,2025-05-20 07:00:00,2542.76,2531.2,-0.004546241092356494,0.0013,-0.005846241092356494,1.0,-0.004095366932354794
2025-05-20 05:59:00,0.8717004060745239,2025-05-20 06:09:00,2025-05-20 07:09:00,vdv30_zero,SOL,2025-05-20 06:00:00,2025-05-20 07:00:00,168.3,167.27,-0.006120023767082597,0.0013,-0.007420023767082597,1.0,-0.004095366932354794
2025-05-20 10:12:00,0.860467791557312,2025-05-20 10:14:00,2025-05-20 11:17:00,vdv30_zero,ETH,2025-05-20 10:00:00,2025-05-20 11:00:00,2514.98,2513.32,-0.0006600450102982348,0.0013,-0.0019600450102982346,1.0,0.0017594749200996154
2025-05-20 10:12:00,0.860467791557312,2025-05-20 10:14:00,2025-05-20 11:17:00,vdv30_zero,SOL,2025-05-20 10:00:00,2025-05-20 11:00:00,166.27,166.38,0.0006615745474227775,0.0013,-0.0006384254525772224,1.0,0.0017594749200996154
2025-05-20 12:01:00,0.8567195534706116,2025-05-20 12:05:00,2025-05-20 13:05:00,vdv30_zero,ETH,2025-05-20 12:00:00,2025-05-20 13:00:00,2483.39,2474.51,-0.003575757331711755,0.0013,-0.004875757331711755,1.0,-0.0030854117606614853
2025-05-20 12:01:00,0.8567195534706116,2025-05-20 12:05:00,2025-05-20 13:05:00,vdv30_zero,SOL,2025-05-20 12:00:00,2025-05-20 13:00:00,165.97,165.27,-0.004217629692112964,0.0013,-0.005517629692112964,1.0,-0.0030854117606614853
2025-05-21 02:19:00,0.8787108659744263,2025-05-21 02:22:00,2025-05-21 03:29:00,vdv30_zero,ETH,2025-05-21 02:00:00,2025-05-21 03:00:00,2538.35,2543.77,0.002135245336537543,0.0013,0.0008352453365375431,1.0,-0.0001292076760595302
2025-05-21 02:19:00,0.8787108659744263,2025-05-21 02:22:00,2025-05-21 03:29:00,vdv30_zero,SOL,2025-05-21 02:00:00,2025-05-21 03:00:00,168.71,169.91,0.007112797107462442,0.0013,0.005812797107462442,1.0,-0.0001292076760595302
2025-05-21 09:45:00,0.9324477910995483,2025-05-21 10:22:00,2025-05-21 11:22:00,vdv30_zero,ETH,2025-05-21 10:00:00,2025-05-21 11:00:00,2527.59,2535.67,0.0031967209871853926,0.0013,0.0018967209871853926,1.0,0.0018882267603221848
2025-05-21 09:45:00,0.9324477910995483,2025-05-21 10:22:00,2025-05-21 11:22:00,vdv30_zero,SOL,2025-05-21 10:00:00,2025-05-21 11:00:00,168.08,169.26,0.0070204664445500855,0.0013,0.0057204664445500856,1.0,0.0018882267603221848
2025-05-24 23:39:00,0.9302103519439697,2025-05-24 23:47:00,2025-05-25 01:09:00,vdv30_zero,ETH,2025-05-24 23:00:00,2025-05-25 01:00:00,2529.27,2494.5,-0.013747049543939549,0.0013,-0.01504704954393955,2.0,-0.0008969450941466559
2025-05-24 23:39:00,0.9302103519439697,2025-05-24 23:47:00,2025-05-25 01:09:00,vdv30_zero,SOL,2025-05-24 23:00:00,2025-05-25 01:00:00,175.81,171.43,-0.024913258631477135,0.0013,-0.026213258631477134,2.0,-0.0008969450941466559
2025-05-25 01:52:00,0.822648823261261,2025-05-25 02:08:00,2025-05-25 03:08:00,vdv30_zero,ETH,2025-05-25 02:00:00,2025-05-25 03:00:00,2506.88,2511.79,0.0019586099055398957,0.0013,0.0006586099055398958,1.0,0.0015582518286978934
2025-05-25 01:52:00,0.822648823261261,2025-05-25 02:08:00,2025-05-25 03:08:00,vdv30_zero,SOL,2025-05-25 02:00:00,2025-05-25 03:00:00,172.28,173.53,0.007255630369166473,0.0013,0.005955630369166473,1.0,0.0015582518286978934
2025-06-09 21:41:00,0.9137734174728394,2025-06-09 21:44:00,2025-06-09 22:44:00,vdv30_zero,ETH,2025-06-09 21:00:00,2025-06-09 22:00:00,2642.59,2664.86,0.008427338330955608,0.0013,0.007127338330955608,1.0,0.001788316453784766
2025-06-09 21:41:00,0.9137734174728394,2025-06-09 21:44:00,2025-06-09 22:44:00,vdv30_zero,SOL,2025-06-09 21:00:00,2025-06-09 22:00:00,158.98,159.77,0.004969178513020635,0.0013,0.003669178513020635,1.0,0.001788316453784766
2025-06-10 00:51:00,0.9053665995597839,2025-06-10 01:34:00,2025-06-10 02:34:00,vdv30_zero,ETH,2025-06-10 01:00:00,2025-06-10 02:00:00,2707.69,2691.61,-0.00593864142497846,0.0013,-0.00723864142497846,1.0,-0.0012228603816016655
2025-06-10 00:51:00,0.9053665995597839,2025-06-10 01:34:00,2025-06-10 02:34:00,vdv30_zero,SOL,2025-06-10 01:00:00,2025-06-10 02:00:00,159.97,159.51,-0.0028755391635932235,0.0013,-0.004175539163593223,1.0,-0.0012228603816016655
2025-06-10 05:24:00,0.8496575355529785,2025-06-10 05:51:00,2025-06-10 07:24:00,vdv30_zero,ETH,2025-06-10 05:00:00,2025-06-10 07:00:00,2669.86,2676.67,0.0025506955420883286,0.0013,0.0012506955420883287,2.0,-0.000857495582113183
2025-06-10 05:24:00,0.8496575355529785,2025-06-10 05:51:00,2025-06-10 07:24:00,vdv30_zero,SOL,2025-06-10 05:00:00,2025-06-10 07:00:00,158.05,158.4,0.002214489085732327,0.0013,0.0009144890857323272,2.0,-0.000857495582113183
2025-06-19 21:30:00,0.863023579120636,2025-06-19 21:34:00,2025-06-19 22:35:00,vdv30_zero,ETH,2025-06-19 21:00:00,2025-06-19 22:00:00,2508.98,2522.7,0.005468357659287758,0.0013,0.004168357659287758,1.0,0.002602720677436159
2025-06-19 21:30:00,0.863023579120636,2025-06-19 21:34:00,2025-06-19 22:35:00,vdv30_zero,SOL,2025-06-19 21:00:00,2025-06-19 22:00:00,145.6,146.63,0.007074175824175832,0.0013,0.005774175824175832,1.0,0.002602720677436159
2025-06-21 18:01:00,0.9124560356140137,2025-06-21 18:14:00,2025-06-21 19:22:00,vdv30_zero,ETH,2025-06-21 18:00:00,2025-06-21 19:00:00,2386.72,2384.02,-0.001131259636656088,0.0013,-0.002431259636656088,1.0,-0.004027448626399355
