scope,signal,description,horizon,full_ic,full_tstat,full_pval,full_n,hit_rate,is_ic,is_tstat,is_n,oos_ic,oos_tstat,oos_n,sign_consistent
BTC,oi_roc_5d,OI rate of change (5d),1d,-0.019234411507300916,-0.863782733186171,0.3878100096915067,2018,0.4975222993062438,-0.012568171773601408,-0.4989815840276761,1578,-0.06624968479833433,-1.3895559333372458,440,True
BTC,oi_roc_5d,OI rate of change (5d),3d,-0.021553739334058235,-0.9675050968275413,0.3334077600621426,2016,0.470734126984127,-0.011470259159394706,-0.45538624474010314,1578,-0.10364789587147424,-2.1759511622505237,438,True
BTC,oi_roc_5d,OI rate of change (5d),7d,-0.015932135456740156,-0.7143764759155548,0.47507736586563465,2012,0.4821073558648111,-0.009761683864282876,-0.3875462495453108,1578,-0.08430298851064032,-1.7584645523553613,434,True
BTC,oi_roc_5d,OI rate of change (5d),14d,0.001728196032208897,0.07734533536784452,0.9383565514700468,2005,0.5012468827930174,0.0023541277074018894,0.0934564605033369,1578,-0.0518073971637393,-1.0694730540733364,427,False
BTC,oi_roc_10d,OI rate of change (10d),1d,-0.013251159010121442,-0.5942894678484926,0.5523853704307105,2013,0.49677098857426727,-0.006913227293504649,-0.27401813535319874,1573,-0.06027205249463628,-1.2636980282082233,440,True
BTC,oi_roc_10d,OI rate of change (10d),3d,-0.0031568192690417827,-0.14149524686126122,0.8874929012516912,2011,0.4932869219293884,0.0037595982985452916,0.1490158986598337,1573,-0.07089894212155072,-1.4841482274450637,438,False
BTC,oi_roc_10d,OI rate of change (10d),7d,0.010199162100166786,0.45671394495895196,0.6479261385556484,2007,0.5151968111609367,0.011311630488451609,0.44837468929102603,1573,-0.050030808820534116,-1.041174723063441,434,False
BTC,oi_roc_10d,OI rate of change (10d),14d,-0.008055935013983754,-0.36010387024796636,0.718807519373409,2000,0.5155,-0.02000679761517525,-0.7931450292491311,1573,-0.02636024512325986,-0.5436192779542312,427,True
BTC,oi_roc_20d,OI rate of change (20d),1d,-0.013671758180743208,-0.6116296137315423,0.5408523215262953,2003,0.5022466300549177,-0.022699860427790514,-0.8970911239918926,1563,-0.00958058104169396,-0.2005159095024389,440,True
BTC,oi_roc_20d,OI rate of change (20d),3d,-0.02477777994119823,-1.108159169911506,0.2679263929696826,2001,0.4897551224387806,-0.035638258364447166,-1.4089445268993663,1563,-0.029542493330198157,-0.6171347345141195,438,True
BTC,oi_roc_20d,OI rate of change (20d),7d,-0.004393196340937593,-0.19622586591697158,0.8444533689113757,1997,0.4987481221832749,-0.02782766849456604,-1.0998830062222065,1563,0.031269686726224266,0.650246214706218,434,False
BTC,oi_roc_20d,OI rate of change (20d),14d,0.04177554842383699,1.8642735832026673,0.06243058020537094,1990,0.5251256281407035,0.015542338540896079,0.6141440906042476,1563,0.06529232080085848,1.3489140159551856,427,True
BTC,oi_zscore_20d,OI z-score (20d rolling),1d,-0.01511982776205277,-0.6765946011200287,0.4987413666264163,2004,0.501996007984032,-0.0037643944720722965,-0.14877800090797424,1564,-0.06920307157860038,-1.4517935303086789,440,True
BTC,oi_zscore_20d,OI z-score (20d rolling),3d,-0.0035544600922920253,-0.15896129196990347,0.8737154201355722,2002,0.4975024975024975,0.019509706658134042,0.7712122556364671,1564,-0.11592520110801217,-2.437019781756609,438,False
BTC,oi_zscore_20d,OI z-score (20d rolling),7d,-0.00050104751504024,-0.022385110140558332,0.9821429952492977,1998,0.5025025025025025,0.008811047750208932,0.34824503105932314,1564,-0.08477332304782358,-1.7683460126742943,434,False
BTC,oi_zscore_20d,OI z-score (20d rolling),14d,0.023574403821860237,1.0516683979704797,0.2930794649031405,1991,0.5168257157207433,0.022926113943007937,0.9063274325695572,1564,-0.03362013663103178,-0.6934889131709656,427,False
BTC,toptrader_ls_raw,Top trader L/S ratio (raw),1d,-0.060932961961206816,-2.5214451979692707,0.01177783400770049,1708,0.515807962529274,-0.04291950964963614,-1.5285229956635251,1268,-0.03139380415657669,-0.6573476572757267,440,True
BTC,toptrader_ls_raw,Top trader L/S ratio (raw),3d,-0.09366442285669616,-3.883496340859854,0.00010689810001215506,1706,0.5416178194607268,-0.04787093513171388,-1.7052456703078531,1268,-0.11928154150593603,-2.5085818021653066,438,True
BTC,toptrader_ls_raw,Top trader L/S ratio (raw),7d,-0.1373037692320799,-5.715309198606635,1.2906217994773324e-08,1702,0.5511163337250293,-0.07210270926698185,-2.572173659153135,1268,-0.1682986594951904,-3.548639564717673,434,True
BTC,toptrader_ls_raw,Top trader L/S ratio (raw),14d,-0.16557504184669136,-6.90811549812462,6.926996375435528e-12,1695,0.56047197640118,-0.09939936594437859,-3.5543206248221315,1268,-0.204201615391753,-4.300337180513287,427,True
BTC,toptrader_ls_zscore,Top trader L/S z-score (20d),1d,-0.0005386141972330203,-0.02184544072313032,0.9825738957563129,1647,0.4978749241044323,-0.006239378449167659,-0.21659244590578497,1207,0.0070830568715371835,0.1482411169521694,440,False
BTC,toptrader_ls_zscore,Top trader L/S z-score (20d),3d,-0.0007467189920258696,-0.03026746856911242,0.9758574170749982,1645,0.49422492401215806,0.006114807211302982,0.212267943315794,1207,-0.04970324264154642,-1.0391184945887029,438,False
