signal,description,horizon,period,IC,t_stat,p_value,n_obs
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),1d,IS,-0.026804298419677332,-1.0611001922334864,0.28880798779685785,1568
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),1d,OOS,-0.0500319624648079,-1.304387501688843,0.192544105284961,680
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),3d,IS,-0.014028788804602819,-0.5552119389528813,0.5788290009254197,1568
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),3d,OOS,-0.07863562537007276,-2.0508769542908327,0.04066390229975972,678
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),7d,IS,-0.0036701345304645913,-0.14523817651094678,0.8845415154053824,1568
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),7d,OOS,-0.07309352447495578,-1.899882729267684,0.057876328922493205,674
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),14d,IS,0.05062981039078743,2.0061320896596397,0.045013852286429984,1568
liq_volume_zscore,Funding rate 20d z-score (liq volume proxy),14d,OOS,-0.03947969371844261,-1.0188806564442876,0.3086301562538847,667
liq_net_direction,LS proxy 30d deviation (liq direction proxy),1d,IS,-0.02183951668365743,-0.8658341513051434,0.3867133218058547,1573
liq_net_direction,LS proxy 30d deviation (liq direction proxy),1d,OOS,-0.05077761337515614,-1.3238773121972898,0.18598996379439123,680
liq_net_direction,LS proxy 30d deviation (liq direction proxy),3d,IS,-0.0008230466491998703,-0.03262215829612396,0.973980043401687,1573
liq_net_direction,LS proxy 30d deviation (liq direction proxy),3d,OOS,-0.06671833238523224,-1.7385503935359978,0.08256916797466983,678
liq_net_direction,LS proxy 30d deviation (liq direction proxy),7d,IS,0.013077013280548002,0.5183627610517644,0.6042781886149124,1573
liq_net_direction,LS proxy 30d deviation (liq direction proxy),7d,OOS,-0.04626569841696759,-1.2006296498499753,0.23031793729820488,674
liq_net_direction,LS proxy 30d deviation (liq direction proxy),14d,IS,0.08136390650125848,3.235654912484547,0.0012388992792614097,1573
