indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
macd_hist_5_13,-0.2700262872569981,0.00011023171695682485,0.2936674686655798,0.046412296217965485,0.039813924342389194,0,0.6172710676420137,-1.0
autocorr_20,0.08237116386167148,0.24622223175382354,0.3506742798536973,0.054729073585388456,0.043162401161153045,0,0.614617692418855,1.0
sma_200,-0.07820044889049148,0.2710377665300234,0.32889680570908714,0.046801314132098155,0.04461437927674877,0,0.604259833107855,-1.0
roc_7,-0.22609176356337857,0.001285640405674944,0.28177141454140336,0.040686273420316804,0.03586721745996786,0,0.5943267116152675,-1.0
momentum_7,-0.2260917635633785,0.001285640405674944,0.28177141454140336,0.040686273420316804,0.03586721745996786,0,0.5943267116152675,-1.0
macd_hist_8_21,-0.28503603409156253,4.296290224871855e-05,0.32182882403074214,0.050701411920252445,0.024740442270519407,0,0.5623385339823932,-1.0
realized_vol_30,0.0937841078234163,0.1865322402889907,0.2916076518821128,0.052817989267974055,0.025703152239865357,0,0.5595112572795534,1.0
hurst_100,-0.13220211645862248,0.06202731674263171,0.3178534310504006,0.03741002303105872,0.024048039663333215,0,0.5429546874421562,-1.0
ema_200,-0.09306826438407809,0.1899317983498062,0.3005365582954236,0.033566828040937274,0.02691772549653012,0,0.5392318336134092,-1.0
kurtosis_30,-0.18523244344455805,0.008641348759887042,0.3741468653433923,0.060667566326160195,0.012097751963026994,0,0.5242254657598082,-1.0
stoch_d_14,-0.2070623432886683,0.003262058809574683,0.31475265173838013,0.05824259757103234,0.012814449433748014,0,0.5240610446987825,-1.0
skewness_20,-0.09904589571161869,0.1629030379016878,0.2575215571311681,0.04384982468761814,0.01707641373213128,0,0.5216867793554758,-1.0
rsi_7,-0.27392836484499594,8.673300254554153e-05,0.33087511323813595,0.04545522841635477,0.014294845891130366,0,0.513998419084965,-1.0
williams_r_14,-0.2356981561922704,0.000779863801519888,0.308615016963068,0.06419932692837421,0.0073194221925020975,0,0.5095268474304762,-1.0
