indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
volume_sma_10,-0.18094917434295568,0.010342284012567851,0.23080629373542041,0.06308201816551269,0.04954044181084714,0,0.6770142899502795,-1.0
volume_sma_20,0.08838456899248773,0.21329759190563694,0.2884991782098674,0.05480432983275063,0.05621136301465308,0,0.65108226577967,1.0
skewness_30,-0.08954017575657122,0.20734977718739864,0.2768125425486479,0.06649824761698572,0.027146484508640354,0,0.5760190111906505,-1.0
tsi,-0.42591018153746135,3.2252684432430716e-10,0.2737900484750876,0.12771590682169906,-0.02186227635027086,0,0.5596448835271238,-1.0
roc_21,-0.5435728474595909,9.010101985164811e-17,0.29515407411307487,0.12586024017661815,-0.024704631428968643,0,0.5573253002207728,-1.0
momentum_21,-0.5435728474595908,9.010101985165121e-17,0.29515407411307487,0.12586024017661815,-0.024704631428968588,0,0.5573253002207728,-1.0
macd_signal_5_13,-0.40033231363346633,4.265321973389778e-09,0.3044827020295613,0.12512167272139843,-0.026628554191263296,0,0.5564020909017481,-1.0
zscore_50,-0.4266867552292135,2.9718334087729736e-10,0.24542469405316378,0.11845488966255174,-0.03408866665157452,0,0.5480686120781897,-1.0
sma_100,-0.11040683620928883,0.11962169334152338,0.32652468791181183,0.06941472410237652,0.014725986585421064,0,0.545672351469655,-1.0
macd_12_26,-0.4263234732836895,3.0878913070869286e-10,0.25274986633376734,0.11526783704748939,-0.02490296581706566,0,0.5440847963093618,-1.0
ichimoku_base,-0.12024786826075522,0.0898741079141834,0.29976869645403365,0.05729176008278194,0.01730717847528544,0,0.5408434140046192,-1.0
bb_upper_20,-0.20016715415803868,0.004485036985342419,0.2996691205542091,0.05527560673148637,0.01760020795771632,0,0.5394953402452233,-1.0
kurtosis_10,0.13834439691527164,0.05074543548648988,0.269074026413164,0.06754960649809898,0.012234117132075393,0,0.5333734766509253,1.0
macd_8_21,-0.4346340227379104,1.270780001520224e-10,0.31351004923022036,0.10521620764051849,-0.03338118396719796,0,0.5315202595506481,-1.0
atr_14,-0.14861480161765164,0.03570825712560595,0.34324386231137743,0.05538470857581678,0.014648851180991273,0,0.5278262904437361,-1.0
ad_line,-0.2329702888367371,0.0009006704854616906,0.23708359122592415,0.05854071406531761,0.013495161209513315,0,0.5271565374197003,-1.0
price_to_sma_50,-0.44805652292070264,2.8760878247215275e-11,0.27230447984144673,0.10164806720154888,-0.027677095942876945,0,0.5270600840019362,-1.0
macd_5_13,-0.39393262021106024,7.870975055180628e-09,0.29633069355113206,0.09864595726700108,-0.035136470513576365,0,0.5233074465837514,-1.0
atr_20,-0.14114507092744763,0.046198784014297035,0.3177093162216344,0.06533826956336165,0.010119192559964078,0,0.5221496071940585,-1.0
ichimoku_span_a,-0.23172790403475152,0.0009612039213295302,0.31620377072754297,0.065230700424455,0.009900114969704988,0,0.5211388354093888,-1.0
price_to_sma_200,-0.32045665833023507,3.7257823391243745e-06,0.30476909854477235,0.09451094993346953,-0.011797854638773017,0,0.518138687416837,-1.0
obv,-0.24855402760226922,0.00038683024955879855,0.3412981289846482,0.05907366318766508,0.011066438637112671,0,0.518107833533032,-1.0
chaikin_mf,-0.23323119477642051,0.0008884123397144968,0.29544026622537795,0.06973956028273218,0.007701532099422661,0,0.5179805787511058,-1.0
macd_signal_8_21,-0.37145834370727365,6.118585102688682e-08,0.30840831722286566,0.09269843663968386,-0.01730200584759057,0,0.5158730457996048,-1.0
ichimoku_conv,-0.32532674853644145,2.5955613058195085e-06,0.32875109321068624,0.08344665286191287,0.002163240593250342,0,0.5129612784503925,-1.0
