Asset,Strategy,Final Equity,Return %,CAGR %,Sharpe,Sortino,Calmar,Max DD %,Trades,Win Rate %,Profit Factor,Fees
BTCUSDT,Buy & Hold,"$2,536,748",1168.4%,51.3%,0.92,1.38,0.54,-94.5%,1,100.0%,inf,"$2,737"
BTCUSDT,RSI+MACD Momentum,"$229,341",14.7%,2.3%,0.25,0.21,0.08,-29.0%,132,25.8%,1.15,"$11,136"
BTCUSDT,Adaptive Regime,"$485,608",142.8%,15.6%,0.89,0.86,0.37,-42.3%,52,34.6%,1.54,"$15,989"
BTCUSDT,Signal Weighted,"$286,651",43.3%,6.0%,0.46,0.49,0.22,-27.2%,173,28.9%,1.26,"$21,015"
BTCUSDT,Causal Composite,"$104,970",-47.5%,-10.0%,-0.75,-0.49,-0.17,-57.1%,110,51.8%,0.55,"$7,392"
BTCUSDT,TE Momentum,"$216,140",8.1%,1.3%,0.16,0.16,0.04,-31.0%,128,30.5%,1.07,"$13,584"
BTCUSDT,Topological Trend,"$207,010",3.5%,0.6%,0.24,0.09,0.19,-3.0%,9,55.6%,2.14,$622
BTCUSDT,Causal Ensemble,"$199,410",-0.3%,-0.0%,0.01,0.00,-0.00,-12.3%,59,44.1%,1.03,"$4,189"
ETHUSDT,Buy & Hold,"$370,257",85.1%,10.6%,0.57,0.87,0.11,-98.2%,1,100.0%,inf,$570
ETHUSDT,RSI+MACD Momentum,"$331,760",65.9%,8.6%,0.76,0.76,0.46,-18.8%,132,30.3%,1.56,"$14,965"
ETHUSDT,Adaptive Regime,"$512,240",156.1%,16.6%,0.98,1.04,0.93,-17.7%,50,50.0%,2.60,"$11,588"
ETHUSDT,Signal Weighted,"$239,817",19.9%,3.0%,0.26,0.29,0.08,-36.7%,180,28.3%,1.10,"$25,525"
ETHUSDT,Causal Composite,"$207,409",3.7%,0.6%,0.11,0.09,0.03,-22.9%,150,57.3%,1.07,"$15,290"
ETHUSDT,TE Momentum,"$273,601",36.8%,5.2%,0.40,0.40,0.24,-22.1%,120,25.8%,1.22,"$15,791"
ETHUSDT,Topological Trend,"$201,651",0.8%,0.1%,0.05,0.01,0.01,-9.4%,9,33.3%,1.06,$525
ETHUSDT,Causal Ensemble,"$225,420",12.7%,2.0%,0.54,0.18,0.34,-5.8%,26,53.8%,2.73,"$1,858"
SOLUSDT,Buy & Hold,"$47,251,594",23525.8%,206.9%,1.51,2.40,2.24,-92.3%,1,100.0%,inf,"$47,451"
SOLUSDT,RSI+MACD Momentum,"$196,690",-1.7%,-0.3%,0.08,0.07,-0.01,-31.7%,119,26.9%,1.00,"$8,592"
SOLUSDT,Adaptive Regime,"$191,686",-4.2%,-0.9%,0.11,0.09,-0.01,-61.3%,40,40.0%,0.98,"$6,274"
SOLUSDT,Signal Weighted,"$264,858",32.4%,5.9%,0.34,0.42,0.16,-37.9%,153,29.4%,1.12,"$19,582"
SOLUSDT,Causal Composite,"$202,468",1.2%,0.3%,0.07,0.03,0.02,-13.4%,37,51.4%,1.05,"$3,913"
SOLUSDT,TE Momentum,"$356,360",78.2%,12.6%,0.54,0.60,0.30,-42.6%,117,28.2%,1.27,"$18,471"
SOLUSDT,Topological Trend,"$196,563",-1.7%,-0.4%,-0.37,-0.05,-0.10,-3.5%,5,60.0%,0.52,$235
SOLUSDT,Causal Ensemble,"$269,776",34.9%,6.3%,1.06,0.61,1.12,-5.7%,30,53.3%,3.05,"$2,255"
